Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
Sentinels,Zekken,Razer Viper V3 Pro White,4000,1600,0.175,280,0.8,ZOWIE XL2546,1920x1080,Razer Strider,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
Sentinels,Sacy,Logitech G Pro X Superlight 2 Magenta,2000,1600,0.12,192.00,1,ZOWIE XL2546,1920x1080,Zowie G-SR II,Wooting two HE,Logitech G Pro X Headset
Sentinels,TenZ,Ninjutso Sora V2,1000,1600,0.24,384,1,ZOWIE XL2586X,1920x1080,Custom Mousepad,Wooting 60 HE,Xtrfy H1
Paper Rex,Monyet,ZOWIE EC2-CW,1000,400,0.632,252.8,1,ZOWIE XL2546K,1920x1080,Logitech G640 Black,Wooting 60 HE,HyperX Cloud II Pink
Paper Rex,d4v41,Razer Viper V3 Pro Black,1000,1600,0.135,216,1.15,ZOWIE XL2566K,1152x864,Pulsar eS2 Nezuko,Wooting 60 HE,Razer Hammerhead Pro V2
Paper Rex,mindfreak,VAXEE ZYGEN NP-01S Wireless White,4000,400,0.6,240,0.9,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro,Wooting 60 HE,
Paper Rex,Jinggg,G-Wolves Hati S+ 4K,2000,1600,0.188,300.80,1.1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,HyperX Cloud II
Paper Rex,f0rsakeN,Logitech G Pro X Superlight 2 White,2000,800,0.712,569.6,1,ZOWIE XL2566K,1920x1080,Logitech G640 Black,Wooting 60 HE,HyperX Cloud III
Paper Rex,something,Razer Viper V3 Pro Black,4000,800,0.55,440.00,1.2,ZOWIE XL2566K,1920x1080,SteelSeries QcK Heavy,Wooting 60 HE,HyperX Cloud III
100 Thieves,Nadeshot,G-Wolves Hati S+ 4K,1000,800,0.35,280,1,ZOWIE XL2566K,1920x1080,Higround Performance Mousepad,Custom Keyboard,Sennheiser HD 600
100 Thieves,bang,Logitech G Pro X Superlight Black,1000,800,0.32,256,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Logitech G Pro Keyboard,Logitech G Pro X Headset
100 Thieves,Cryocells,Finalmouse Ultralight X Medium,1000,800,0.27,216,1,ZOWIE XL2546,1440x1080,Kurosun Ninja Speed,Wooting 60 HE,HyperX Cloud Stinger II
100 Thieves,Boostio,Finalmouse Ultralight X Medium,1000,800,0.233,186.4,1,LG ULTRAGEAR 27GN750-B,1920x1080,Artisan Ninja FX Zero Soft,Vortex Pok3r RGB,HyperX Cloud II
100 Thieves,eeiu,Logitech G Pro X Superlight 2 Black,2000,,,,1,ZOWIE XL2546,1920x1080,Zowie G-SR II,,
100 Thieves,Asuna,Razer DeathAdder V2,1000,1400,0.26,364,0.7,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,HyperX Cloud II
NOEZ FOXX,Fisker,ZOWIE EC2-C,1000,800,0.35,280,1,Lenovo Legion Y25-25,1920x1080,VAXEE PA FunSpark,SteelSeries Apex Pro TKL,Logitech G Pro X Headset
ZETA Gaming,falltw,Razer Deathadder V3 Pro Black,1000,800,0.377,301.6,1,ZOWIE XL2566K,1280x960,SteelSeries QcK+,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro Black
GoNext Esports,Zeek,Logitech G Pro X Superlight Magenta,1000,1000,0.305,305,1,ZOWIE XL2546,1440x1080,Lethal Gaming Gear Venus,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Nongshim RedForce,Xross,Razer Viper V2 Pro Black,4000,800,0.23,184,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero XSoft,SteelSeries Apex Pro Mini Black,
Nongshim RedForce,Foxar,Razer Viper V2 Pro Black,4000,800,0.25,200,0.7,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL (2023),Razer BlackShark V2 Pro Black
Nongshim RedForce,Pkm,Razer Viper Mini Signature Edition,4000,1600,0.165,264,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Rouge,Wooting 60 HE,HyperX Cloud II
Nongshim RedForce,Rico,Logitech G Pro X Superlight Magenta,1000,800,0.3,240,0.75,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Rouge,SteelSeries Apex Pro TKL Wireless (2023),
Nongshim RedForce,Rap1d,Finalmouse Ultralight X Medium,4000,1600,0.1,160.00,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Rouge,Yuki Aim 65% Keyboard,HyperX Cloud III
Crest Gaming Zst,Moothie,Razer Viper V3 Hyperspeed,1000,400,0.45,180,0.7,ZOWIE XL2546,1920x1080,X-raypad Equate,HyperX Alloy Origins Core,
Dsyre,Filu,Razer Deathadder V3 Pro White,4000,800,0.285,228,1,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2 Pro Black
Fire Flux Esports,qw1,ZOWIE EC2-CW,1000,400,0.69,276,1,ZOWIE XL2546K,1280x960,ESPTIGER LongTeng,Anne Pro 2,Logitech G Pro X Headset
Fire Flux Esports,Turko,Logitech G Pro X Superlight Black,1000,400,0.6,240,1,,1920x1080,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud II
Dragon Ranger Gaming,vo0kashu,Logitech G Pro X Superlight 2 White,1000,800,0.211,168.8,1,ZOWIE XL2546K,1280x960,ZOWIE G-SR-SE Gris,Logitech G Pro Keyboard,Logitech G Pro X Headset
Free Agent,Rawkus,FinalMouse Starlight Pro,1000,800,0.4,320,1,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero XSoft,Ducky One 2 Mini,Sennheiser GAME ZERO
Free Agent,Cutler,Logitech G Pro X Superlight Black,1000,800,0.3,240,1,ZOWIE XL2546,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Free Agent,seb,Xtrfy M4 Miami Blue,1000,400,0.420,168,0.9,ZOWIE XL2540K,1920x1080,Artisan Ninja FX Zero Soft,SteelSeries Apex Pro TKL,Sennheiser GAME ONE
Free Agent,disk0,Logitech G Pro X Superlight Black,1000,400,0.525,210,1,Alienware AW2720HF,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Free Agent,Texta,Logitech G Pro Gaming Mouse,1000,400,0.700,280,1,Alienware AW2521HF,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Free Agent,Relyks,Logitech G Pro X Superlight Black,1000,400,0.79,316,1,ZOWIE XL2540,1920x1080,Artisan Hayate Otsu XSoft,HyperX Alloy FPS,HyperX Cloud II
Free Agent,ZexRow,Razer Viper V2 Pro Black,1000,800,0.314,251.2,1,ZOWIE XL2566K,1920x1080,Razer Strider,Razer Huntsman V2 TKL,Razer BlackShark V2
Free Agent,Drone,Logitech G Pro X Superlight Black,1000,800,0.34,251.2,1,ZOWIE XL2540,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Free Agent,v1xen,Logitech G Pro X Superlight Black,1000,800,0.450,360,1,AlienWare AW2518HF,,GIGABYTE AORUS AMP500,Cooler Master CK550 V2,HyperX Cloud Alpha
Free Agent,RECIDENT,FinalMouse Starlight-12,1000,800,0.25,200,,ZOWIE XL2546K,1920x1080,Razer Gigantus,Razer Huntsman TE,Razer BlackShark V2
Free Agent,Ange,Razer Deathadder V3 Pro Black,1000,1600,0.14,224,1,,1920x1080,Razer Acari,Razer Huntsman Mini,Razer BlackShark V2 Pro Black
Free Agent,Trick,Razer Viper V2 Pro Black,1000,800,0.305,244,1,,1920x1080,Razer Acari,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro Black
Free Agent,psalm,Logitech G Pro X Superlight Black,1000,800,0.340,272,1,ZOWIE XL2546K,1920x1080,Artisan FX Hien Soft,Custom Keyboard,
Free Agent,Yacine,Logitech G Pro Wireless,1000,800,0.25,200,1,ZOWIE XL2546,1920x1080,QPAD FX 50,Custom Keyboard,HyperX Cloud II
Free Agent,vice,Logitech G Pro Wireless,1000,800,0.245,196,1,ZOWIE XL2546,1280x960,HyperX Fury S Speed Edition,Logitech G915 TKL Carbon,HyperX Cloud Revolver S
Free Agent,ngiN,Razer Deathadder V3 Pro Black,1000,800,0.244,195.2,1,ZOWIE XL2566K,1920x1080,VAXEE PA Summer22,Razer BlackWidow V3 Pro,HyperX Cloud II
Free Agent,babybay,G-Wolves Hati S+ 4K,1000,800,0.2,160,1,ZOWIE XL2546,1920x1080,Lethal Gaming Gear Saturn,Logitech G Pro X Keyboard,HyperX Cloud Alpha
Free Agent,dimasick,Razer Deathadder V3 Pro Black,1000,400,0.75,300,1,ZOWIE XL2546,1280x960,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud Alpha
Free Agent,ZachaREEE,FinalMouse Starlight-12,1000,800,0.52,416,1,ASUS ROG SWIFT PG258Q,1920x1080,ZOWIE G-SR-SE Deep Blue,Varmilo VA87M Summit,Sennheiser GAME ONE
Free Agent,BraveAF,Logitech G Pro X Superlight Black,1000,400,0.785,314,1,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,Fnatic STREAK65 LP,Logitech G Pro X Headset
Free Agent,PoPiFresH,VAXEE OUTSET AX Funspark,1000,800,0.39,312,1,ZOWIE XL2566K,1920x1080,VAXEE PA FunSpark,Razer Huntsman Mini,HyperX Cloud II
Free Agent,Wardell,Logitech G Pro X Superlight Black,1000,400,0.691,260.8,1.15,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Free Agent,AslaN,Razer Deathadder V3 Pro Black,1000,400,0.6,240,1,ZOWIE XL2546K,1920x1080,Corsair MM250,Corsair K65 TKL,Corsair HS80
Free Agent,KRYPTIX,ZOWIE EC2-CW,1000,400,0.471,188.4,0.8,ZOWIE XL2566K,1920x1080,Zowie G-SR II,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro Black
Free Agent,rin,VAXEE ZYGEN NP-01S Wireless Orange,,,,,,ZOWIE XL2566K,,VAXEE PA Pcute,Logitech G715,
Free Agent,gtnziN,Logitech G Pro X Superlight Black,1000,400,0.580,232,1,AOC G2460PF,1680x1050,ESPTIGER LongTeng,Razer Blackwidow Chroma TE V2,HyperX Cloud Alpha
Free Agent,koldamenta,Razer Deathadder V3 Pro White,1000,800,0.3,240,1,ASUS ROG XG258Q,1440x900,Logitech G640 Original,Logitech G512,Logitech G Pro X Headset
Free Agent,H1ber,Logitech G Pro X Superlight Black,1000,400,0.67,268,1,ZOWIE XL2566K,1440x1080,Logitech G640 Original,Logitech G Pro Keyboard,HyperX Cloud II
Free Agent,Suggest,Logitech G Pro X Superlight Magenta,1000,1600,0.15,240,1,Alienware AW2518H,1280x960,XTEN Control,Logitech G915,Logitech G Pro X Headset
Free Agent,JoXJo,Logitech G Pro X Superlight Black,1000,800,0.355,284,1,ZOWIE XL2566K,1280x960,Artisan FX Hien Soft,Wooting 60 HE,
Free Agent,Subroza,Logitech G Pro X Superlight Black,1000,800,0.277,221.6,1,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Free Agent,Thwifo,Logitech G Pro Wireless,1000,800,0.28,224,1.0,Alienware AW2521HF,1600x900,SteelSeries QcK+,SteelSeries Apex Pro TKL,Sennheiser GAME ONE
Free Agent,Sylvan,Logitech G Pro X Superlight White,1000,800,0.27,216,1,,,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,ASTRO A50
Free Agent,eko,ZOWIE EC2-CW,1000,800,0.32,256,1,,,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Corsair Void RGB Elite White
Free Agent,iNTRO,Razer Deathadder V3 Pro Black,1000,400,0.432,172.8,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR,Corsair K65 Rapidfire,Sennheiser GSP 600
Free Agent,TS,Logitech G Pro X Superlight White,1000,400,0.583,233,1,ASUS ROG XG258Q,1920x1080,ZOWIE G-SR,Logitech G915 TKL Carbon,Logitech G Pro X Headset
Free Agent,Yassa,Logitech G Pro X Superlight Magenta,1000,800,0.23,184,1,GIGABYTE AORUS FI25F,1920x1080,Logitech G640 Original,Logitech G Pro Keyboard,Logitech G Pro X Wireless Headset
Free Agent,clear,Razer Viper V3 Hyperspeed,1000,1600,0.12,192,0.7,,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,beyerdynamic DT 770 Pro
Free Agent,s0m,Logitech G Pro X Superlight 2 White,2000,400,0.8,320,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Logitech G915 TKL Carbon,HyperX Cloud Alpha
Free Agent,PROD,Logitech G Pro X Superlight White,1000,800,0.55,440,1.1,Alienware AW2518H,1920x1080,TT Esports Dasher,Matrix x sinatraa Keyboard,HyperX Cloud II
Free Agent,k1Ng,ZOWIE EC2-CW,1000,400,0.45,180,0.9,ZOWIE XL2546S,1280x960,VAXEE PA Winter22,Corsair K70 RGB,HyperX Cloud II
Free Agent,FNS,Logitech G Pro X Superlight 2 Black,1000,400,0.55,220,1,ZOWIE XL2546,1920x1080,Artisan FX Hien XSoft,Wooting 60 HE,HyperX Cloud II
Free Agent,pANcada,Logitech G Pro X Superlight Magenta,1000,800,0.28,224,1,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Gris,Wooting 60 HE,Logitech G735
Free Agent,dicey,Razer DeathAdder V3 Pro Faker Edition,4000,800,0.27,216,1,ZOWIE XL2546K,1920x1080,Yuki Aim Oni Black,Ducky One 2 Mini,Sennheiser GAME ONE
Free Agent,BabyJ,Razer Deathadder V3 Pro Black,4000,1600,0.104,166.40,1,ZOWIE XL2546,1280x960,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
Free Agent,nukkye,Logitech G Pro X Superlight 2 Black,2000,1600,0.175,280,1,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Free Agent,roxie,ZOWIE EC3-CW,1000,800,0.25,200,1,ZOWIE XL2546K,1280x960,ZOWIE G-SR-SE Rouge,Wooting 60 HE,HyperX Cloud II
Free Agent,neT,Razer Viper V2 Pro White,1000,1600,0.11,176,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
Free Agent,garnetS,Logitech G Pro X Superlight Red,1000,800,0.78,624.00,1,ZOWIE XL2546K,1920x1080,Artisan FX Hien Soft,Logitech G915 TKL White,HyperX Cloud II Gun Metal
Free Agent,ScreaM,Finalmouse Classic Ergo 2,1000,400,0.765,306,1,Alienware AW2521H,1920x1080,SteelSeries QcK Heavy,Logitech G915 TKL Carbon,Logitech G Pro X Headset
Free Agent,Eggster,Logitech G Pro X Superlight Black,1000,1600,0.15,240,1,,1920x1080,HyperX Fury S Pro XL,Redragon K552 Kumara,HyperX Cloud II Wireless
Content Creator,Vorwenn,Logitech G Pro X Superlight Black,1000,800,0.4,320,1,ZOWIE XL2540K,1280x960,Artisan Ninja FX Zero XSoft,Razer Huntsman TE,HyperX Cloud Alpha S
Content Creator,Drakonz,Razer Viper Ultimate,1000,800,0.346,274.8,1,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft,SteelSeries Apex Pro TKL,HyperX Cloud Alpha
Content Creator,GodDead,Logitech G Pro X Superlight Black,1000,400,0.691,276,1,ZOWIE XL2546S,1920x1080,SteelSeries QcK+,Varmilo VA87M Beijing Opera,HyperX Cloud Revolver S
Content Creator,Horcus,Razer Viper Ultimate,1000,800,0.315,252,1,ZOWIE XL2546,1920x1080,GIGABYTE AORUS AMP500,Varmilo VA87M Beijing Opera,HyperX Cloud II
Content Creator,Kyedae,ZOWIE U2,1000,1600,0.23,368,1,ZOWIE XL2586X,1920x1080,ZOWIE G-SR-SE Gris,Wooting 60 HE,Xtrfy H1
Content Creator,Dizzy,Endgame Gear OP1 8k Black,2000,800,0.35,280,1,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Rouge,SteelSeries Apex Pro TKL,
Content Creator,XAROLA,Razer Deathadder V3 Pro Black,4000,1600,0.2,320.00,,AOC 24G2Z,1920x1080,Yuki Aim Katana XL,,ASTRO A50
Content Creator,sinatraa,Logitech G Pro X Superlight 2 White,1000,800,0.387,309.6,1,ZOWIE XL2546,1920x1080,Logitech G640 Original,Matrix x sinatraa Keyboard,JBL Quantum One
Solary,memset,Logitech G Pro X Superlight Black,1000,400,0.39,156,,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
Solary,iDex,VAXEE ZYGEN NP-01S Wireless Black,1000,800,0.35,280,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Blue,Wooting 60 HE,Razer BlackShark V2 Pro Black
Fusion Esports,Tacolilla,Logitech G Pro X Superlight Black,1000,800,0.47,376,1,ZOWIE XL2546K,1680x1050,VAXEE PA P22,Razer Huntsman TE,Logitech G Pro X Headset
Riddle Order,Seoldam,Logitech G Pro X Superlight Red,1000,800,0.32,256,0.95,ZOWIE XL2566K,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL (2023),Logitech G Pro X Wireless Headset
DVM Esports,keloqz,Logitech G Pro X Superlight Black,1000,400,0.44,176,1,ZOWIE XL2546K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Wireless Headset
Titan Esports Club,Rb,Razer Viper V3 Pro Black,2000,1600,0.175,280.00,1,ZOWIE XL2566K,1920x1080,Razer Strider,Wooting 60 HE,Razer BlackShark V2
Eintracht Frankfurt,luckeRRR,Razer Viper 8KHz,8000,800,0.39,312,1,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro Black
Eintracht Frankfurt,xanarchy,Razer Deathadder V3 Pro Black,1000,800,0.4325,346,0.7,ZOWIE XL2566K,1920x1080,VAXEE PA ZYGEN,Wooting 60 HE,Logitech G Pro X Headset
Eintracht Frankfurt,bucher,G-Wolves Hati S+ 4K,1000,1600,0.1,160.00,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Logitech G Pro X Headset
Ramboot Club,neptuNo,Logitech G305,1000,800,0.3,240,1,ZOWIE XL2566K,1600x900,ZOWIE G-SR-SE Rouge,Ducky One 2 TKL,Logitech G Pro X Headset
Ramboot Club,jannyXD,Razer Viper V2 Pro Black,1000,400,0.520,208,1,ZOWIE XL2546K,1280x768,Razer Gigantus V2,Razer BlackWidow V3 TKL,Razer BlackShark V2 Pro Black
GAMAX Esports,Sher1o,Razer Deathadder V3 Pro Black,1000,1600,0.2,320,1,ZOWIE XL2546K,1920x1080,,Wooting 60 HE,Razer BlackShark V2 Pro Black
NOM Esports,szimpli,Logitech G Pro X Superlight 2 Magenta,4000,800,0.205,164,0.887,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero Mid Orange,Wooting 60 HE,Logitech G Pro X Headset
Maryville Esports,jcStani,Lamzu Atlantis,,800,0.4,320,1.00,,1920x1080,Logitech G640 Original,Wooting 60 HE,Audio-Technica ATH-M50X
Maryville Esports,ec1s,Logitech G Pro X Superlight Black,1000,800,0.314,251.2,1,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro,Logitech G Pro X Keyboard,HyperX Cloud II
Valiant,d3ffo,VAXEE ZYGEN NP-01,1000,800,0.51,408,1,ZOWIE XL2546,1280x960,VAXEE PA ZYGEN,Logitech G Pro Keyboard,Sennheiser GAME ZERO
Valiant,Ambi,Logitech G Pro X Superlight White,1000,400,0.41,164,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Corsair STRAFE,HyperX Cloud II
Oasis Gaming,DubsteP,Finalmouse Starlight-12 Phantom,1000,800,0.47,376,1.15,ZOWIE XL2546K,1920x1080,Corsair MM350 Champion Series,Corsair K70 RGB TKL,Corsair HS80 Wireless
ZERANCE,UNFAKE,Logitech G Pro X Superlight Black,1000,800,0.3,240,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,,HyperX Cloud II
YFP Gaming,penny,Logitech G Pro X Superlight Black,1000,800,0.35,280,1,,1920x1080,HyperX Fury S Pro,HyperX Alloy Elite,HyperX Cloud II
Moist x Shopify,v1c,Logitech G Pro X Superlight White,1000,800,0.196,156.8,1,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,Corsair K63,HyperX Cloud II Wireless
GIANTX,Fit1nho,Logitech G Pro X Superlight Black,1000,800,0.314,251.2,,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro Red,Wooting 60 HE,HyperX Cloud II
GIANTX,Cloud,Logitech G Pro X Superlight Black,1000,800,0.35,280,1,ZOWIE XL2566K,1920x1080,VAXEE PA FunSpark V2,Wooting 60 HE,HyperX Cloud II Pink
GIANTX,Redgar,VAXEE XE Wireless Black,1000,800,0.27,216,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Deep Blue,Logitech G Pro X Keyboard,Logitech G Pro X Headset
GIANTX,purp0,Logitech G Pro X Superlight 2 White,2000,800,0.35,280,0.8,ZOWIE XL2546K,1280x960,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,HyperX Cloud II Pink
GIANTX,hoody,Pulsar Xlite V3 Es,1000,400,0.628,251.2,1,ZOWIE XL2566K,1920x1080,Logitech G640 Original,,Logitech G Pro X Headset
RETA Esports,delz1k,Logitech G Pro X Superlight Black,1000,400,0.72,288,1,ZOWIE XL2546K,1920x1080,VAXEE PA Black,HyperX Alloy FPS Pro,HyperX Cloud Flight
RETA Esports,murizzz,Logitech G Pro X Superlight Black,1000,800,0.45,360,0.82,AlienWare AW2518HF,1920x1080,VAXEE PA Black,Logitech G Pro Keyboard,Logitech G Pro X Wireless Headset
RETA Esports,NagZet,ZOWIE EC2-CW,1000,400,0.58,232,1,ZOWIE XL2546K,1920x1080,VAXEE PA FunSpark V2,Logitech G915 TKL Carbon,HyperX Cloud Flight
SZK Esports,jonba,Logitech G Pro X Superlight Black,1000,800,0.27,216,1,ZOWIE XL2540,1680x1050,ZOWIE G-SR-SE Blue,Razer Huntsman Mini,HyperX Cloud Alpha
Murash Gaming,Reita,VAXEE ZYGEN NP-01S Wireless Black,1000,1600,0.15,240,0.9,ZOWIE XL2546,1280x960,SteelSeries QcK Heavy,Logitech G915 TKL Carbon,Logitech G Pro X Headset
NASR Esports,7ssk7,FinalMouse Starlight-12,1000,800,0.31,248,1,ASUS ROG SWIFT PG259QN,1600x900,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Sennheiser GAME ZERO
HERO Base,dgzin,Logitech G Pro X Superlight 2 Black,2000,1600,0.07,112.00,1,ZOWIE XL2546K,1280x768,Lethal Gaming Gear Saturn Pro,SteelSeries Apex Pro TKL (2023),
Lucky7,Will,Logitech G Pro X Superlight Black,1000,800,0.4,320,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Mid,Ducky One 2 TKL White,EPOS H6PRO White
Lucky7,Kanpeki,Lamzu Atlantis 4K,1000,800,0.32,256,1,ZOWIE XL2546 Divina Pink,1920x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,Razer BlackShark V2 Pro Black
